Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Module 1: User Registration,JUM-1,10379,Epic,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:51 PM,02/Apr/26 12:51 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b5cf19e,,,,,ghx-label-9,,To Do,,,,orange,,,,,0|i0014v:,,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 12:51 PM
1.1 Sign Up / Registration,JUM-2,10381,Story,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:51 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@75e3ecca,,,,,,,,,,,,,,,,0|i00153:,,,JUM Sprint 1,,,,,,,,,,,,,10379,JUM-1,Module 1: User Registration,To Do,02/Apr/26 12:51 PM
1.2 Social Login,JUM-3,10383,Story,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:51 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3272e883,,,,,,,,,,,,,,,,0|i0015b:,,,JUM Sprint 1,,,,,,,,,,,,,10379,JUM-1,Module 1: User Registration,To Do,02/Apr/26 12:51 PM
1.1.1 Full Name Field Validation,JUM-4,10385,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:51 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@13787342,,,,,,,,,,,,,,,,0|i0015j:,,,JUM Sprint 1,,,,,,,,,,,,,10379,JUM-1,Module 1: User Registration,To Do,02/Apr/26 12:51 PM
1.1.2 Email Address Field Validation,JUM-5,10387,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:51 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@47621c95,,,,,,,,,,,,,,,,0|i0015r:,,,JUM Sprint 1,,,,,,,,,,,,,10379,JUM-1,Module 1: User Registration,To Do,02/Apr/26 12:51 PM
1.1.3 Mobile Number Field & OTP Verification,JUM-6,10389,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@79a67710,,,,,,,,,,,,,,,,0|i0015z:,,,JUM Sprint 1,,,,,,,,,,,,,10379,JUM-1,Module 1: User Registration,To Do,02/Apr/26 12:52 PM
1.1.4 Password Field Validation,JUM-7,10391,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@e7da27e,,,,,,,,,,,,,,,,0|i00167:,,,JUM Sprint 1,,,,,,,,,,,,,10379,JUM-1,Module 1: User Registration,To Do,02/Apr/26 12:52 PM
1.1.5 Confirm Password Validation,JUM-8,10393,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2bee65c2,,,,,,,,,,,,,,,,0|i0016f:,,,JUM Sprint 1,,,,,,,,,,,,,10379,JUM-1,Module 1: User Registration,To Do,02/Apr/26 12:52 PM
1.1.6 Terms & Conditions Checkbox,JUM-9,10395,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@44a9530c,,,,,,,,,,,,,,,,0|i0016n:,,,JUM Sprint 1,,,,,,,,,,,,,10379,JUM-1,Module 1: User Registration,To Do,02/Apr/26 12:52 PM
1.1.7 Sign Up Button Behaviour,JUM-10,10397,Task,To Do,JUM,JASSI USER MANAGEMENT,software,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,Medium,,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,02/Apr/26 12:52 PM,02/Apr/26 1:43 PM,,,222,,0,,,Justina J,712020:e065d815-2064-4acc-b8d1-1cb41cc190b2,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@a9955fe,,,,,,,,,,,,,,,,0|i0016v:,,,JUM Sprint 1,,,,,,,,,,,,,10379,JUM-1,Module 1: User Registration,To Do,02/Apr/26 12:52 PM
